Revision opencl for FPGA

Soln: 0x18: 3218 4ccc1 7b7a6 12bd82 638c6 d08b6 eabac 113ed0 7d21 132ddc 79204 1031e1 5b3c5 d5618 9904a 14c314 2c0f4 17422f 1305b2 174d9e 842a5 1f42fa 8abec f1c86 5a7b5 1922d1 122bdf 1911cd afb84 1bcf1b c4867 1c0a23 1173d 1574b9 1d802 1d0913 fd79e 112a97 1046aa 16f9e4 2055c 1dbda4 2a4cc 401f9 391ee 18dba2 dc3a0 105a34 2b2a4 1d41cf 2d26f f2341 330bc b4211 af2af 11ee07 52c0a 1d6508 a6e72 16b57a 79b1e 886bb 91be8 126641 16116 2413f 2c15e e0f04 133777 17215a 13fc87 1968a9 1d542 178283 58d9b e903c 4bb1d 19a8e8 77a20 139695 171fd 1387ab 112653 1df959 230a6 1027e0 198fc3 1d0670 1f334 1bd655 83348 143444 d9ad3 17cb42 11da9a 15df3c 1791e 1d9eb4 1528a5 1d9f33 2c64d 6a659 17e46a 1b3d75 19b40 17d00e 36a00 b1b52 408a7 a5695 101418 13266e 4a32f 1b4ae2 b586e 11e65f 7f24f 1f895a 113aa1 1be5f5 9a1c4 1bd05a b9d94 1a5364 d636b 1c11f3 1015fa 139b0d 78ea 6d959 740df 19e766 143e60 161238 196e49 1a57f2 52310 6bfc3 d1685 19e91d 97986 1008ef fdfc9 189279 45b14 dcbb1 14268a 164743 99c11 1604a6 b34e8 d77d1 488e2 4f899 de09e 11f3c5 4af99 bf7d2 b7c99 e9c44 1f7c7 b93e8 7d6a4 13e175 b416f 1cd4e2 12f8b0 1fbc91 3be84 f3eac 147850 1be88a af5cd 12cb88 e69f5 182f21 67a8b 1b43af 188572 1e71fa 7f816 b15ed f1bdf 1cc58c d274f 190442 f7c33 16c1eb d3e47 1cd999 e730c 107aed 1606d 177586 e5011 1f6552 18d670 1d0080 1d6787 1e318e 8f4b0 ae340 1a2845 1c5b49 ab05d 141479 d3189 1fc91c 2d13b 4f9e3 b21ef 1dc015 31667 1f2118 151760 15a619 74ff7 10b08e 76883 abd08 839d4 b2b73 96573 171da2 43030 56782 4d7a0 10ffe3 e3542 102283 14bdd4 1606e8 8df7e 13dd0f 1a67c3 1dd637 9b8a4 f6eed dfd89 f6420 47528 1cd9c5 83b48 99811 6b5ce 19f63d 81584 131ae0 a6118 13ecfd 18e414 1c0b29 bfad0 ca8d2 c5720 171bec 3ab8 e585a 1049c5 14cc03 71b58 1d3df0 7c28a 17c324 41f5e 113c5d 9a290 a43dd bf31c 1c90e4 e4bf3 ff4f6 7c4f dccc7 188f23 1ffdb1 db899 149700 fe8e3 145390 16c8e 19bdc4 8533d 1e59fa 175c40 1b84ee 1cf591 1fe6fe 6994 ce580 755bb 18c92c 133621 1e78ac 167363 1eb1f5 3cb24 19356b 113649 154b42 42f12 109fc4 ddead 1cb8ad 1d9ad 3db53 524f9 1fcd54 24a69 fc4af 65e16 e52df 76d96 b2cf9 b4552 10574d 8cbbc dc715 8dc79 138fa6 419a 1acc83 bf10 14c1f4 2ae1f 59277 399d9 a3979 3127a 1eb6bf cd9d3 fe94b 11da6e 19ec11 149fc2 18ef57 36cfe 10de40 e1c78 faec9 3a8f8 5e0c3 bb9c2 14fb96 cf549 17b81d 11cc6a 125ae7 e1a5d f5d29 113708 1c19f8 b6a5 1022af 107796 1cbea9 7e2bd 1b18ad a752b 1c4ddb 319bc 9e910 84e94 17ba05 ab55d 170433 f73f7 106427 33af6 1ca8ed d06e8 1e2d07 64919 9ed4e 1e406b 1e9f03 3ec66 b17de 10cc61 13ab36 d3323 1c1b56 19f326 1f271f 46e0 31b2a 37453 1ae7db a13bd 16ca22 142999 19478e 408ea 16c054 48492 6eb12 ae3ca 1a6aca 1086a4 18adea 9ce0 cd5c0 124a93 156123 44e8a a304a 64984 15dafa 10afd 1e9457 1311fe 185f30 6960e 1ff2af 88460 ba205 13972 4e931 4ac48 18d0d2 876c9 1a5c09 a547a d3acf 392a2 98d04 175472 19dbd0 9310f 1b7ae8 c469a d4b34 59269 f6063 7e0e3 d01b2 7d0fc 19f4f3 1bc41f 1e90ee 9592b 15205c 1eef7e 1fd02c a8e30 1e5ac0 199468 1ce06b 17378 97675 78132 148773 6da97 1c36b8 7fc45 1b4a01 34e90 1bcf93 80624 1a40d7 c51a8 1b050d 145f74 1c7895 173ac 877b9 29f0c 119dc0 c7cf1 12e439 1828ee 1ea487 67241 fbd85 97b21 148eb4 f22bc 1098f7 13e1e8 1840d6 189cc 2990b be083 12aa62 2db16 8d5a1 444ee 17ccf8 2f618 69ea4 b4d7e 1531fc 6e8ad d225e 107b6f 1c7c13 4a893 1f85a9 9c35c 131cc9 ce7c7 140965 e9129 f4978 6ce6a c283f 181354 1d218b 140e73 17c6a6 14d135 177a9d

Soln: 0x19: 505 d8b97 80d18 14802a 8dad5 1344bf e6ec8 1fccb5 11573 1924cc 76cec f5d91 ec88b 12f6d3 135a49 1445a5 1678f 43091 ad7c1 ba8bf b4c89 1e609a d03de 150963 ae474 133efa bb67f 1f3bc4 e1741 113439 13e460 1b24d1 eec5 ace84 14c12b 1a1bcd ad94e 18b6e9 cd328 196c4d 3dbe4 8979e fc0e2 11e263 5f693 1383e4 1f1607 1f1bc3 4e5b4 69a0e 128411 1342ce e198f 1cadbc 12c510 169041 c07e6 1140c0 196987 1ae5b0 12361a 1adb51 16fde0 1e6081 c4e2 1e19af 1a0da 1662fb 524b9 1b7cf1 190c39 1d6133 1d5bd 168a3a f92ae 1e4020 a14a2 1ca884 15b117 16ae3f 16be8 1c87a 45662 d3137 20492 f7505 118bc6 119970 271ad 12a3d9 1321d9 153909 722a4 130b7f 93498 15f342 166bc 1091db 5e61a d4ab0 6fee4 7746a efef9 103220 303b8 90047 3ac7c f1c91 e2b2c 13a387 eb0d8 18b1e9 1f892 1dc1d6 85e62 1afe04 e6da8 15f2e8 f5843 11956f 20100 107aaa 56f2a dcb6d 49566 868ef a6954 1c1617 30d8 8c5d0 b58a0 18a6c1 c46ba 132da2 173fd8 17f431 24a3b 909a3 a255a 15f77f 52d65 1d06d4 85543 10065b 21f6a 112b75 1a4b77 1bced6 32f12 1ad104 11b8f1 1a0835 2cfcb 1adf01 dda2d 122203 3a71d 1ea220 101041 15e63d b4aa 2ed3e ad1fb 1b5bfe 15fc75 160b76 1bc6c9 1ef487 23335 2730f 62c9a 12dd9d c3b69 1e5084 10a6ce 18ca98 58350 a9a39 f8634 169e53 84773 1d3cd8 122452 176abc 5cb51 98bcc 16f43c 1999c9 68550 c4b60 79f64 8b3e4 bd88 48cda b7b95 cb1be 8727b f4fbd 18ffc4 1d191c 1ea02 197d8e fd8d8 10f2f0 4262f 8dfbf 103eab 14166b 2b161 1732aa 6a856 1921dd 51feb 115923 5c302 b0663 99a7f fefd8 16e185 1f07be c47b7 155dc6 19bc4f 1fa0e7 11271 1e461 3766c e381e 70866 df150 12c807 18bc42 28ac4 145286 d7a64 1d70f8 34376 183d32 6820a fdb24 47cb9 e7ebd efbec 171038 62225 88a2e a2adc 169a7a 710c9 1ed379 19eb42 1aee2c fe7fc 19132c 12cfa8 176ae2 b5b 26010 d8b6 95f0b c222b 1fad16 1201a6 184222 9160e 168fc1 dd06a 1d32a6 99010 1f18ee abe9d 17f890 70fd 10c7d8 b4832 1e8e55 564fd 101183 ba7d8 19a413 36d51 1542e0 9226a 1f6e26 3a0b2 17bd45 17b4ae 1d69e9 a011 159d66 6ad74 1a755f 3863f 11d889 b0be7 dfde0 217dd c36df 3715b 519f7 71cc2 116710 154bac 1daf98 1f3b0 8267f f0f6d 12c59a 987b6 ca503 19c6db 19da62 61f91 1e17ac 12ca3b 16f5d5 11dab8 12a06c 12daea 1b5562 6a70 165499 d6403 1cc669 3faec 1f4ab3 c68ff 108389 ca50 47364 3e4ea 10f3f7 28f19 2e33e 41e50 baaff 16077 1325b5 ab6d5 1bf317 4b283 162d95 5a2d1 18bf41 834d6 1d48d6 10a8d0 1fe260 f7040 17807b 1c0f0e 1ecc93 7070 1ff0aa e09a3 19b284 5b25c f37b2 671ca 1a0394 56017 11abe9 1502b9 17dd20 9db4b 1aa557 c75f3 e61a3 1b3c4 122996 6dae2 17c7a0 76ad0 122062 136be6 164fdc 23678 a0693 a5769 15971b 6ef1d 112af6 6ef9e 119863 1935 1803f5 10f98d 1be2b8 fb241 fbb42 19028f 1eea7d 53a0 31ee0 1539f 110d9d 2fffc 1d7682 553db 95327 3f4a9 16dc63 93a18 1d32f3 8e072 1fc5d1 10168a 12ddfb 73750 129f5c d23f8 1892c6 df1b2 1d1179 152a62 1be59a 29446 e46b9 139bc8 1e4fd8 b4132 18ce2b baf2f 145d1c 30235 18e9df dc39d 12820a 8ca73 8d59d 141be5 192198 47884 16a883 11104b 1a21b5 555b2 1f5d17 58952 112df6 5b893 18f25b 1a84a2 1dc4dc 124110 13494d 17009b 1e1853 2d77 1fcd02 8752c af95c 5eb07 113b14 e8313 107d85 1b831 13bd95 fa70b 1c68cf 11dfff 16fb63 13a9f4 1bc22c 105ee 82565 88a7a 154069 2bfee 119c96 4e2f7 88686 46e65 7f2db ccb78 1dc051 79326 14212a 97330 a275c 3515 712f9 18fe83 1a04e7 5cc69 144abc 688e9 95fdc 59290 1df4a6 df40a 197c3b 75e61 d9008 1b3ee5 1e40f3 9c7a 15b3d2 5c5d4 183020 80959 198eab 94754 1b8d7f f847 1f9df8 fef6c 1d5bd0 111021 1506c8 131863 1f1b29

Soln: 0x19: 1537 16f03f 2b4ec 151065 c8d02 1232b9 1f8d9f 1fe831 48f78 1c65a9 664bd 14975d b2016 1afdd5 bbae6 1b3269 5b3b6 e35ea 12ccd6 1a425b 65665 175ad7 a4ea8 aadde 72d4d b720c 931be ea81a 83af3 11e682 148a97 1b1667 3e3b 9c409 9360e 1801c4 4785a 198565 be7cb 12f0f8 2f11e c3505 2fd88 3f563 99d1e 1db9a6 b0fb5 dd9f0 7e44 17f37c 15f5da 1b2c25 96a78 152dae 17d067 1a59c6 280f1 4e3a2 1362e2 1f6bfb 9d706 db065 11d47d 16b31c 2fb5 181668 fceb9 12c901 8b93f cc70f d5ae2 1c5066 2740f 602a9 84da7 121ef9 544eb 933f4 794d3 117601 19e7e 1bf105 16d557 1d7f22 774fd 1748ce c7329 1a5472 bb1b2 19a078 15532b 1cadaf c87cd 10b287 18264a 1d5327 37a10 1b4f2c f1cb4 1b36dd 5008e 13a495 aae32 16e679 8a5fe 145dad 13db06 1df1ea 9930d 1d06e0 f0054 15d880 4be3e fb0db cd1e2 12ad2f adb73 1cbd94 1aca94 1d584c 55257 1b4943 935a7 cd9e1 6d67c 162597 861fd 19b8fb 701b 13e993 119c98 18d11f 126036 1738e0 1a1d7d 1c8d91 b47a 98e52 77b5d e8962 13c04 177c6c 28415 12d773 5337d 190891 14d78f 174b96 53785 1dbbb7 e556f 1da543 984cd 15c300 110bfa 1f1571 a9372 15e3da e4e9c 11a99c 19e98 6c0b6 14f07e 19c12a a5534 c1cc6 da7bd fd5f5 83e7c 14325f 8b300 119c91 8f0a7 1bf42e 174fa7 1dcf6c 38c4f 1ab00b 118659 1ee0c4 d33be 14e537 1b5a69 1c70c0 ce623 146605 f6168 14e2d1 10f9b0 144a67 146ecd 1ef774 162ab 8c684 59fdd 7eb47 40fec e7cc9 11bdc1 1466c6 11c698 1e11ff 183104 1a887a 12f1f9 1e3cd7 1beda3 1e8ce8 6ec02 19e7fc 106897 162c72 ca004 161a36 d7432 15a46a 82184 181523 113a89 146a16 a505c 1409aa 13d8c9 144e77 1c2a7 1c1032 3af1a 70344 30c52 18f4d8 17b53a 1b02f6 1d977 1c0ecb 153dd0 1a4725 a7278 15cffd fddce fffa4 35ebd 19ef04 149fb4 18f6ba 6cc93 6e1bb 1c7d0e 1f3c92 3bc1a a91f8 dbf35 13ba4b 63807 1ec50c 104581 17d761 470b 6261 106b8a 19d61a ebc0 e5de2 dacb4 e6373 15ec9 1cc8e4 38673 38800 5e85d b5294 1c0632 1ca7fd 5608 5e4c4 ed09 a189a 103c27 18e954 1a2d37 1f925b 8490e 153e63 dec1d 1ae3ac c5cc2 145515 15a3a0 1f6acf 5ef0 4e9f1 174480 199d34 4d9ac 1a30c5 175a93 1eefbd 3f772 d1638 670a7 ec307 c5a71 10e0c1 145d44 1d4c2a 45b46 10c735 90da7 123f9a 5469d 19e18c 87ed4 1a5be7 8649d 1aad0c 116b90 183be2 cdbcb 1e4690 152531 19b371 f667 fd1bb df520 1ba901 129a0 e778c 96cf0 1c06b1 1d2de 1404a8 d1346 d2401 1dbc8 1b53a7 617e8 19f8ef 4b111 9ffde 1543be 18326f 7ba50 166950 1199c9 134578 59de3 1ecdea 7f4e2 1a798d b38ed fbfda 185a7f 1e06d8 1724b c6a9c 1fbd3 bfbb2 a30c9 fe8e5 a4470 1824c3 3afb3 1b1018 6acfa 153686 137c79 1e3275 13bd7f 1eed67 1b699 107eed e271e 16d724 11ad12 1c0e34 162974 1d6b78 54306 9f1a0 7b74e dd679 d940f 106c09 e8084 156682 6680 19c8a5 d181d 14de94 e688d ed054 138f3a 17500a 2bd33 672a2 87be6 9741a b2ac5 1db932 133bc1 18d7ca 30750 3a852 e5797 1eb1e8 1062de 1ce417 15d097 1d376d 31499 116535 9fc8b f3c5c d3d58 104f22 11bfeb 1f3472 12aa9 5d4a8 3e4e2 7bc18 216fd 12e940 fbb6e 13e9f2 4ffec d764f fb4b6 1bbb82 a03a3 177ce9 107003 1b2f91 3af8f 19cd1e 13f0ef 1f62d1 8e07f c5c29 bc922 f01ae 786f5 1637e0 ba9fc 14b167 9b1f7 1c8e57 ea525 1da8ab 18e8e 4ff34 11dfd6 14837d 6fa00 120036 146da7 1b315c 5254d b51d5 e5378 181124 8695b 12f11e 1191f0 1ee0b2 23a93 16f2ef 33ec4 8ebed db9a9 f23eb 1da8ac 1fc1b7 2c7fe 1555fd 9f435 1530a3 401b0 1d1867 e5081 19ae37 28ec7 111e73 17d0b3 1d6754 50b3f 17a74c e63ed 17090f 59895 17d9f1 f6684 145b98 c3f1e 139c24 1179e9 14c4a9 735e6 11b18b 119581 18e066 c4c93 e8f73 10ff94 1253f4 b1903 1a4c34 15863d 1f155e 147a7d 1682ad 1c8f5a 1f8d1d

Soln: 0x19: 28d1 1e0413 107c7 11d962 10df84 1597d6 120ace 180081 53ef8 136523 1023ec 12bc00 5dbd0 1596a8 1e6f9b 1fcbfb f56e 10be75 524d5 9b6cd 89569 aacb6 9f2fb 1995cc 1224b 5f25a 8eef5 1f8b50 2843e 12e046 7324f 173817 21367 5f9f2 d2de6 147cf3 e38fa 1def9c 1e4d10 1ec14a 58a23 5cec5 13c1ae 1b3bd7 b0529 13c8ab 141dfe 14494b 3e482 1e3cae 56e16 af30a e26c6 139c7c 1038b2 1db226 4025e 12e7ae 139cf7 1a0881 91b44 11baf3 131560 1aa179 47d3 c4cf5 dc964 1b9ba5 5c00b 1f9893 83c8d 1f3c0c 861ec dae76 9cfdb 1a97d2 b4fb4 17fd84 148bac 18c706 a542 1b86a0 1cfafb 1cfd07 295ab 1cc53b bc331 1cf5eb 3094f fa5b9 530ed 1dec98 6baa0 184036 91206 1906d9 51a2 1a553 11178 f7073 7efd eead8 fe6a 4a3d8 29dd7 b9472 c6e4f 19b6f2 55cda 1913f3 5bb0c 91f85 5e12c 144529 6223e cd78d 7db10 b3ae9 bcfb3 1ebc74 777a4 1ec6a0 155bf0 1e25ed 82e93 1ec741 eaaca 14a715 56eb 18de99 30b20 76901 cb96b 11a32e 1bcd17 1eae60 ba55 b1995 1046df 1db2aa 66f1e 157403 1262e4 1942ea 3838e 9ea8c a3de6 137e48 52697 fb3af beedd 1d085b 55b12 121db2 9227c e193b 5bdb8 1eb9cb 11b55e 1ce4a1 aca4 5a4e4 92e29 1da0f7 fd04a 1e35b0 14928d 189cc1 40196 197a3f 4984d a73b7 9ca70 118790 145b5b 1fb9d1 52f57 8376d 141d3f 1c36ff a7739 162202 12735c 189d96 5a9cc 10016f 151cda 1dd2e4 799be 1e85d1 86f9e 1a6413 6022 db8d3 168122 1dd773 5e0f3 6c256 a403b b2c5d 4aad8 f20fc aa49d c4072 8e502 1c06a2 166a96 1e1ccc 365db 8717f 7ffbd bfc92 10693c 174d87 12cf9d 1831e6 478cd 71e52 e03e5 1b6221 7d1ed ac516 16c7ad 1f7b0d 1ae65 13c5c8 d16e5 181d12 35fec 14eade 4dea5 19c4e7 864f5 1024bd 1477a3 1d646e fccc3 174453 14b566 18e963 1cce2 2331c f9210 1dfa56 25fdb 88486 b50f9 1661cb 3c80a a6a56 d7c29 de7bc 3f53f 8bacc a9e06 16f017 4b8e 9012f 8875c 13622b af526 198ec0 cf99e 10b6a3 3afb0 1673aa d59e9 1e069c 96d92 a79fb 16346b 1c3999 26303 73429 dd215 e3b51 b360a 15dc61 1739aa 1f384d 27f65 1f3bfe daaa5 10c98e 9b20e 10864f 100346 1500c4 1bbdf aac2d 108966 127bc7 4cbd5 6135b 51898 1a31dd 67df7 136ed7 6d11e 85238 811d6 1a5d89 10a87a 1a765a 4b8f3 1cd2af 5b4bc 1faabb 856ee dc360 113070 1a58ab 6c639 1a30fb 148863 1e3e13 8942f ba288 1b8631 1c0572 a8a5 170dc7 15e4d3 16318e 59088 60bc0 180718 1fa6cf 1b273 17bbd1 6fc85 1ab7b6 9269d 125bca d51d0 1acd61 33670 94bc1 122444 1c8371 4c98b 1b2e18 13b877 1a57ee 56ffa 128ea0 caa1b 10ac63 e048b f4706 e1920 1f2778 dd81 1a5dc2 7c595 1917de 46fe6 1d4c2b 125f53 138824 3559e 1ec19b 132845 1ab798 4c85f 1d1048 16b0d7 1d4a4f 30788 1db11d 5c07f 1761d5 1130e4 1ec68d 16fef2 1d4514 369fe e5fcd d15bb 1ed480 3bdc4 9080e 52b9b 1ad16f eba0 14fd06 d7e69 14f25b 261c1 1090e7 1baba0 1c2417 13087 2485c 16ad1a 17d1a0 1adb9 90209 125f80 153b02 28766 b94a7 13cdb5 1f213c 5fb0e 1b8c7c 72b22 1c1489 49a51 a3703 6c10e 117526 6860d f8144 b13d7 10ad4a 1e75c 13735e 10c675 1bc58e 69e9f 1903b6 11e571 19ef05 558cc 10db0f bc70e 146a4a b97b2 1813ae 1726c0 192bf0 494e8 1e29a1 8a594 1777da 51a67 14db56 5e608 1b885a ace03 d0839 146051 1df507 eb731 1bb59a 121d32 15bc75 15eef 1a8bd 5e124 f651e 166dd 379ad 851c3 126939 2deee 76925 1680c8 1bb707 f9d66 162355 14dbb0 17fba0 41cd6 1465aa 67b19 15ed92 842b9 fb1c3 dd368 1d7a57 ab942 b337c 190aec 1df61f c7fc0 1775c5 1b07df 1d2039 18826 12a3a9 e8034 ece1d 3631a 1e76d9 1a7db8 1d26b6 5fea1 10d816 10df55 1f3899 a3d39 10dd99 13e2ea 14790a 293b0 177290 11a010 193f4c 709f5 19e144 114752 18749e 55289 11cf9d b80ba f1cac 12d75c 19af34 1b4434 1fc615

Soln: 0x1a: 1d8 74f63 593e7 1efcf3 206f3 e4979 a3f16 1a206e 1f6bc 1e9370 eef46 196388 6aca2 b7a42 133e94 1ae8c9 28d26 1341ce 74a94 1fd4dc 66c76 98d8a 969ae 105269 37fee 84c40 1402a4 1c5bb2 49d58 1964f5 1635f4 1f836f e292 18b342 473d0 1879a7 cc1ce 1c8677 d0fe2 12d028 1c089 f129b 1c7f8 13bf07 a949d 17ef62 15cd77 1d4d27 41033 cfe66 e7b91 127fb5 ee7dc 12c12d fa7c8 1f36d4 6fd22 19e005 da0a0 140d87 95f81 1bbe59 b30ce 16bc3f 2158 1ed480 113d9f 1dcc8c 3251f 5288a 6d440 171117 32575 6423d 9a6af 1f0552 fb8e9 1cf97b 12ab65 196597 fd35 17d018 7dfd7 1202c9 1b5cf f7ff2 22f94 d8e08 2160b aa72c 3e230 69d9c 3010e 1ced17 f5bf5 100ff1 4e53 1f440c 16892 47940 12783 99620 a4432 121bff 14e24 f4f55 3af15 19171d 67709 1ee7ad ceb48 198567 3517f 198fa1 120856 13bb5f 6909a 16c0ba 1623ee 1cbdd1 5907f 104b7f 169d1c 188670 97c1b c9506 157896 1855ff 8ea 19c3d2 26b80 194564 68a9a b58dd f27cd 1f24c2 18fc 3a509 ca057 17536e bcfc3 ffaff dc987 10f1a9 1681a 1cab96 cbb7b 1e45d5 7ecb3 17f5a2 120ccd 1f509d 22216 1c4bc8 6c89d a3101 6a0d7 1735e5 126049 18df59 b022 1a0f3 d0af1 1dc112 131b7a 19c0d2 1b9346 1e997e 56c7a a0647 115eb8 18bbb0 c3afa 175ca6 f007f 1648de 19906 1c49fd ad1f1 18c05e 3e4f7 db6cf 4f2de 87d3d 27b58 a2634 4a2d9 8d2f0 9bb29 bde76 a90f0 19d64f a7a7 a8c38 1bf67a 1c3447 118670 1d2b48 157eb5 1defe2 546a3 80d5a d41bb 1abf67 594b6 65319 13a485 1608d5 2eefc 100283 185366 1c3a62 b050d 1373de 12c32a 1a0874 54c08 12ed6c 17c09f 1ac01a 103ac6 10de08 12cfa3 1ab8df 2840d 40ebd 984fd dac72 6a7c3 b0e86 12558d 1307b6 8a6f6 d8caf 107e66 132b8c 1256e5 13d6f1 153d9b 1f2076 50473 ccb0a 145603 1fce42 d3081 1acea7 11b34d 15d7aa 6df98 1b010a 926ea 1b495e 180df8 1ed22f 1b6841 1d824f 44ba 1923ad 123cb5 19fc48 4aa4e 1b8c33 a3f3e 1445b4 b1e8 f43d4 11d455 1fcc1f 5aa6f 1cea0a 730eb 15dcfc 183e1 14f173 10efb1 1165ce 622a2 1e4ac5 9f3e1 12427b ec4e2 1b2b91 fbfc2 14998a 12710e 13adbe 1326ae 1a97ae 7dfa c01f9 e2d77 1077e3 f7035 136795 116ee4 1aabda 17fe8 59323 101602 1f578b 68781 c5be5 11f54b 16d0ff 76849 1cc281 19321d 196d76 1711d1 1c4dfb 1937d3 1b4703 783ef 1aaf7f 85659 191dde 99b2a 198f21 bc34a 170fb1 151ae 5b470 91394 12712f 3e692 16dc6f 119ec8 1986c3 6f23e d5640 a3ec9 1d9eb5 9c5b0 150111 11b130 186554 3915d 1d4dea 661ba 1dc7b1 b93a4 ef4af d113f 15eba4 4aa17 1646f0 5c41f 10e69d 75aeb 1fc970 1509ee 1e766c 3a2c9 62e12 4329c 166774 98479 136f11 e7aa5 1f24bd 8002c 1a52c2 c9392 1ed443 11810f 1a9ceb 15d1cd 1edb9a a1ba7 1cec52 110331 1f3cd1 a26a6 1159a7 e4e35 19c579 aa25b 18c2f6 1545bd 1a7b7e c62ac 1f3e40 10eb95 1b5ada 6ee9 10bc6b df471 f5c60 31732 f796b 14c87b 1ef5ca 1c8fc 1cb34d ba79a 182499 6d415 1fe09e 7a435 13b1c6 d16a f964c ef69a 1517a6 e9e41 171a1d 15bb10 1c9aa8 4750c 189668 b659b 1accc0 4b317 e6b1b 18f7af 1b60fe 209c8 1a9fbd 133cba 1ada52 a6b69 15bec3 a7143 1009a8 5fa41 a5b8d 658c9 8c182 6f049 1e1386 d530a d78d8 22a43 105cc5 8d0ea 1d5b90 6293e 107ed7 cfabc f6e8c 2cb6a 44449 6283b 1cfa55 b293b 182e45 1a9588 1d8bcd 75e7 3f9f9 b241 1ea795 e2834 14dbad e308a 1cc485 26590 fa031 ddd37 12489a e269d 1fe91e 1bdb14 1e31bf 22d4b 14fb91 2809f 12d2d9 10fffd 137a5d 1595fd 1db8fa 6aded 1d872c d67e8 1a3853 a43f5 cd2c6 133b36 19700f db07 17164f 3f72e ebe3f 8f5f1 19bee1 c529e 16b564 14fea c2247 879b4 a697f 2fe9e 196c96 1b8bb5 1d6dbb 30f81 11b8bd 14c9ec 1de362 8f596 118711 f5c88 17f1a5 c8d71 1c3722 eaf37 130b25 f0b59 1bad3a 128788 1df34c

